;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:26:35 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,SUBJECT,0.00 ,0.00 ,0.00 ,320.00 ,4.12 ,100.00 ,inactive
100112 120000,SUBJECT,0.00 ,0.00 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120100,SUBJECT,-158.73 ,189.16 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120200,SUBJECT,-317.45 ,378.32 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120300,SUBJECT,-476.18 ,567.49 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120400,SUBJECT,-634.90 ,756.65 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120500,SUBJECT,-793.63 ,945.81 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120600,SUBJECT,-952.35 ,1134.97 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120700,SUBJECT,-1111.08 ,1324.13 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120800,SUBJECT,-1269.81 ,1513.30 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120900,SUBJECT,-1428.53 ,1702.46 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121000,SUBJECT,-1587.26 ,1891.62 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121100,SUBJECT,-1745.98 ,2080.78 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121200,SUBJECT,-1904.71 ,2269.94 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121300,SUBJECT,-2063.43 ,2459.10 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121400,SUBJECT,-2222.16 ,2648.27 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121500,SUBJECT,-2380.89 ,2837.43 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121600,SUBJECT,-2539.61 ,3026.59 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121700,SUBJECT,-2698.34 ,3215.75 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121800,SUBJECT,-2857.06 ,3404.91 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
