;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:44:40 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,SENSOR,11000.00 ,24000.00 ,0.00 ,205.00 ,6.17 ,100.00 ,inactive
100112 120000,SENSOR,11000.00 ,24000.00 ,0.00 ,205.00 ,6.17 ,200.00 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120047,SENSOR,10899.35 ,23727.91 ,0.00 ,200.00 ,6.17 ,200.00 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120134,SENSOR,10800.16 ,23455.25 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120221,SENSOR,10700.97 ,23182.58 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120308,SENSOR,10601.78 ,22909.92 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120355,SENSOR,10502.59 ,22637.25 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120442,SENSOR,10403.40 ,22364.59 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120529,SENSOR,10304.21 ,22091.92 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120616,SENSOR,10205.02 ,21819.25 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120703,SENSOR,10105.83 ,21546.59 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120750,SENSOR,10006.63 ,21273.92 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120837,SENSOR,9907.44 ,21001.26 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120924,SENSOR,9808.25 ,20728.59 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121011,SENSOR,9709.06 ,20455.93 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121058,SENSOR,9609.87 ,20183.26 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121145,SENSOR,9510.68 ,19910.60 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121232,SENSOR,9411.49 ,19637.93 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121319,SENSOR,9312.30 ,19365.27 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121406,SENSOR,9213.11 ,19092.60 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121453,SENSOR,9113.92 ,18819.93 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121540,SENSOR,9014.73 ,18547.27 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121627,SENSOR,8915.54 ,18274.60 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121714,SENSOR,8816.35 ,18001.94 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121801,SENSOR,8717.16 ,17729.27 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121848,SENSOR,8617.97 ,17456.61 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121935,SENSOR,8518.78 ,17183.94 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122022,SENSOR,8419.59 ,16911.28 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122109,SENSOR,8320.40 ,16638.61 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122156,SENSOR,8221.21 ,16365.94 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122243,SENSOR,8122.02 ,16093.28 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122330,SENSOR,8022.83 ,15820.61 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122417,SENSOR,7923.64 ,15547.95 ,0.00 ,199.99 ,6.17 ,199.99 ,6.17 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122504,SENSOR,7738.29 ,15333.00 ,0.00 ,241.55 ,6.17 ,310.00 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 122551,SENSOR,7457.00 ,15295.12 ,0.00 ,283.11 ,6.17 ,311.46 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 122638,SENSOR,7214.94 ,15447.29 ,0.00 ,312.59 ,6.17 ,312.59 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 122725,SENSOR,7002.29 ,15644.67 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 122812,SENSOR,6789.63 ,15842.06 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
